token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP001	0	buon	buon	linguistic	_	Begin=1.65	_	_	_	_
0-1	PKP001	0	appetito,	appetito	linguistic	Intonation=weakly_rising	End=2.459	_	_	_	_
1-0	PKP004	1	buon	buon	linguistic	_	Begin=2.71	_	_	_	_
1-1	PKP004	1	[appetito]	appetito	linguistic	_	End=3.41	_	_	_	0-8(0)
2-0	PKP003	2	[buon]	buon	linguistic	_	Begin=3.24	_	_	_	0-4(0)
2-1	PKP003	2	appetito	appetito	linguistic	_	End=4.11	_	_	_	_
3-0	PKP004	3	da	da	linguistic	_	Begin=8.67	_	_	_	_
3-1	PKP004	3	quanto	quanto	linguistic	_	_	_	_	_	_
3-2	PKP004	3	tempo	tempo	linguistic	_	_	_	_	_	_
3-3	PKP004	3	non	non	linguistic	_	_	_	_	_	_
3-4	PKP004	3	facevo	facevo	linguistic	_	_	_	_	_	_
3-5	PKP004	3	questa	questa	linguistic	_	_	_	_	_	_
3-6	PKP004	3	pasta	pasta	linguistic	_	End=10.677	_	_	_	_
4-0	PKP001	4	è	è	linguistic	_	Begin=10.977	_	_	_	_
4-1	PKP001	4	vero,	vero	linguistic	Intonation=weakly_rising	_	_	_	_	_
4-2	PKP001	4	a	a	linguistic	_	_	_	_	_	_
4-3	PKP001	4	me	me	linguistic	_	_	_	_	_	_
4-4	PKP001	4	piace	piace	linguistic	_	_	_	_	_	_
4-5	PKP001	4	un	un	linguistic	_	_	_	_	_	_
4-6	PKP001	4	sacco	sacco	linguistic	_	_	_	_	_	_
4-7	PKP001	4	tra	tra	linguistic	_	_	_	_	_	_
4-8	PKP001	4	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
4-9	PKP001	4	altro	altro	linguistic	_	_	_	_	_	_
4-10	PKP001	4	questa	questa	linguistic	_	End=13.072	_	_	_	_
5-0	PKP004	5	>ci	ci	linguistic	_	Begin=14.019	_	Fast=0-2	_	_
5-1	PKP004	5	ho	ho	linguistic	_	_	_	Fast=0-2	_	_
5-2	PKP004	5	messo<	messo	linguistic	_	_	_	Fast=0-5	_	_
5-3	PKP004	5	anche	anche	linguistic	_	_	_	_	_	_
5-4	PKP004	5	i	i	linguistic	_	_	_	_	_	_
5-5	PKP004	5	pezzetti	pezzetti	linguistic	_	_	_	_	_	_
5-6	PKP004	5	di	di	linguistic	_	_	_	_	_	_
5-7	PKP004	5	pancetta	pancetta	linguistic	_	End=16.181	_	_	_	_
6-0	PKP001	6	buona	buona	linguistic	_	Begin=16.995	_	_	_	_
6-1	PKP001	6	ci	ci	linguistic	_	_	_	_	_	_
6-2	PKP001	6	sta,	sta	linguistic	Intonation=weakly_rising	End=17.75	_	_	_	_
7-0	PKP004	7	gigi	gigi	linguistic	_	Begin=19.236	_	_	_	_
7-1	PKP004	7	smettila:	smettila	linguistic	_	End=20.315	7x1	_	_	_
8-0	PKP001	8	>ora<	ora	linguistic	_	Begin=22.04	_	Fast=0-3	_	_
8-1	PKP001	8	metto	metto	linguistic	_	_	_	_	_	_
8-2	PKP001	8	un	un	linguistic	_	_	_	_	_	_
8-3	PKP001	8	po'	po'	linguistic	_	_	_	_	_	_
8-4	PKP001	8	di	di	linguistic	_	_	_	_	_	_
8-5	PKP001	8	formaggio,	formaggio	linguistic	Intonation=weakly_rising	End=23.562	_	_	_	_
9-0	PKP003	9	>devi<	devi	linguistic	_	Begin=25.216	_	Fast=0-4	_	_
9-1	PKP003	9	tirarlo	tirarlo	linguistic	_	End=26.12	_	_	_	_
10-0	PKP001	10	ah	ah	linguistic	_	Begin=27.023	_	_	_	_
10-1	PKP001	10	okay,	okay	linguistic	Intonation=weakly_rising	End=27.62	_	_	_	_
11-0	PKP003	11	gira	gira	linguistic	_	Begin=27.747|End=28.41	_	_	_	_
12-0	PKP001	12	gira	gira	linguistic	_	Begin=29.31|End=29.843	_	_	_	_
13-0	PKP004	13	altrimenti	altrimenti	linguistic	_	Begin=29.906	_	_	_	_
13-1	PKP004	13	ti	ti	linguistic	_	_	_	_	_	_
13-2	PKP004	13	cade	cade	linguistic	_	_	_	_	_	_
13-3	PKP004	13	tutto	tutto	linguistic	_	_	_	_	_	_
13-4	PKP004	13	[nel	nel	linguistic	_	_	_	_	_	0-3(1)
13-5	PKP004	13	piatto]	piatto	linguistic	_	End=32.116	_	_	_	0-6(1)
14-0	PKP003	14	[(come	come	linguistic	_	Begin=31.006	_	_	0-4(0)	0-4(1)
14-1	PKP003	14	mai)]	mai	linguistic	_	_	_	_	0-3(0)	0-3(1)
14-2	PKP003	14	di	di	linguistic	_	_	_	_	_	_
14-3	PKP003	14	più?	più	linguistic	Intonation=Rising	End=32.56	_	_	_	_
15-0	PKP003	15	>fai	fai	linguistic	_	Begin=33.86	_	Fast=0-3	_	_
15-1	PKP003	15	come	come	linguistic	_	_	_	Fast=0-4	_	_
15-2	PKP003	15	la	la	linguistic	_	_	_	Fast=0-2	_	_
15-3	PKP003	15	nonna<	nonna	linguistic	_	_	_	Fast=0-5	_	_
15-4	PKP003	15	che	che	linguistic	_	_	_	_	_	_
15-5	PKP003	15	prendeva,	prendeva	linguistic	Intonation=weakly_rising	End=35.281	_	_	_	_
16-0	PKP004	16	((ride))	((ride))	nonverbalbehavior	_	Begin=37.999|End=39.093	_	_	_	_
17-0	PKP001	17	okay	okay	linguistic	_	Begin=40.5	_	_	_	_
17-1	PKP001	17	[grazie]	grazie	linguistic	_	End=41.33	_	_	_	0-6(2)
18-0	PKP004	18	[infatti	infatti	linguistic	_	Begin=41.01	_	_	_	0-7(2)
18-1	PKP004	18	un	un	linguistic	_	_	_	_	_	0-2(2)
18-2	PKP004	18	giorno]	giorno	linguistic	_	_	_	_	_	0-6(2)
18-3	PKP004	18	ha	ha	linguistic	_	_	_	_	_	_
18-4	PKP004	18	fatto	fatto	linguistic	_	_	_	_	_	_
18-5	PKP004	18	cadere:	cadere	linguistic	_	_	5x1	_	_	_
18-6	PKP004	18	ha	ha	linguistic	_	_	_	_	_	_
18-7	PKP004	18	fatto	fatto	linguistic	_	_	_	_	_	_
18-8	PKP004	18	svuotare	svuotare	linguistic	_	_	_	_	_	_
18-9	PKP004	18	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
18-10	PKP004	18	intera	intera	linguistic	_	_	_	_	_	_
18-11	PKP004	18	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
18-12	PKP004	18	formaggera	formaggera	linguistic	_	_	_	_	_	_
18-13	PKP004	18	nel	nel	linguistic	_	_	_	_	_	_
18-14	PKP004	18	piatto	piatto	linguistic	_	End=46.23	_	_	_	_
19-0	PKP001	19	chi	chi	linguistic	_	Begin=46.495	_	_	_	_
19-1	PKP001	19	la	la	linguistic	_	_	_	_	_	_
19-2	PKP001	19	nonna?	nonna	linguistic	Intonation=Rising	End=47.26	_	_	_	_
20-0	PKP004	20	la	la	linguistic	_	Begin=47.26	_	_	_	_
20-1	PKP004	20	nonna	nonna	linguistic	_	End=47.88	_	_	_	_
21-0	PKP001	21	ops,	ops	linguistic	Intonation=weakly_rising	Begin=47.882	_	_	_	_
21-1	PKP001	21	((ride))	((ride))	nonverbalbehavior	_	End=48.424	_	_	_	_
22-0	PKP004	22	in	in	linguistic	_	Begin=48.424	_	_	_	_
22-1	PKP004	22	un:::	un	linguistic	_	_	1x3	_	_	_
22-2	PKP004	22	piatto	piatto	linguistic	_	_	_	_	_	_
22-3	PKP004	22	di	di	linguistic	_	_	_	_	_	_
22-4	PKP004	22	pastina	pastina	linguistic	_	_	_	_	_	_
22-5	PKP004	22	in	in	linguistic	_	_	_	_	_	_
22-6	PKP004	22	brodo	brodo	linguistic	_	_	_	_	_	_
22-7	PKP004	22	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
22-8	PKP004	22	((ride))	((ride))	nonverbalbehavior	_	_	_	_	_	_
22-9	PKP004	22	è	è	linguistic	_	_	_	_	_	_
22-10	PKP004	22	diventato	diventato	linguistic	_	_	_	_	_	_
22-11	PKP004	22	un	un	linguistic	_	_	_	_	_	_
22-12	PKP004	22	pezzo	pezzo	linguistic	_	_	_	_	_	_
22-13	PKP004	22	di	di	linguistic	_	_	_	_	_	_
22-14	PKP004	22	formaggio	formaggio	linguistic	_	_	_	_	_	_
22-15	PKP004	22	unico	unico	linguistic	_	End=54.05	_	_	_	_
23-0	PKP005	23	chi	chi	linguistic	_	Begin=54.13	_	_	_	_
