token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP032	0	°>allora<	allora	linguistic	Volume=Low	Begin=0.69	_	Fast=0-6	_	_
0-1	PKP032	0	io	io	linguistic	Volume=Low	_	_	_	_	_
0-2	PKP032	0	preparo	preparo	linguistic	Volume=Low	_	_	_	_	_
0-3	PKP032	0	un	un	linguistic	Volume=Low	_	_	_	_	_
0-4	PKP032	0	po'°	po'	linguistic	Volume=Low	End=2.64	_	_	_	_
1-0	PKP032	1	°(prendi)	prendi	linguistic	Volume=Low	Begin=4.01	_	_	0-6(0)	_
1-1	PKP032	1	un	un	linguistic	Volume=Low	_	_	_	_	_
1-2	PKP032	1	po'	po'	linguistic	Volume=Low	_	_	_	_	_
1-3	PKP032	1	di	di	linguistic	Volume=Low	_	_	_	_	_
1-4	PKP032	1	vino	vino	linguistic	Volume=Low	_	_	_	_	_
1-5	PKP032	1	qua°	qua	linguistic	Volume=Low	End=5.42	_	_	_	_
2-0	PKP030	2	ma	ma	linguistic	_	Begin=6.27	_	_	_	_
2-1	PKP030	2	alla	alla	linguistic	_	_	_	_	_	_
2-2	PKP030	2	fine	fine	linguistic	_	_	_	_	_	_
2-3	PKP030	2	per	per	linguistic	_	_	_	_	_	_
2-4	PKP030	2	il	il	linguistic	_	_	_	_	_	_
2-5	PKP030	2	pranzo::	pranzo	linguistic	_	_	5x2	_	_	_
2-6	PKP030	2	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
2-7	PKP030	2	[no	no	linguistic	_	_	_	_	_	0-2(300)
2-8	PKP030	2	cosa	cosa	linguistic	_	_	_	_	_	0-4(300)
2-9	PKP030	2	facciamo]?	facciamo	linguistic	Intonation=Rising	End=10.5	_	_	_	0-8(300)
3-0	PKP008	3	e::h	eh	linguistic	_	Begin=8.66	0x2	_	_	_
3-1	PKP008	3	[il	il	linguistic	_	_	_	_	_	0-2(300)
3-2	PKP008	3	problema	problema	linguistic	_	_	_	_	_	0-8(300)
3-3	PKP008	3	è	è	linguistic	_	_	_	_	_	0-1(300)
3-4	PKP008	3	il	il	linguistic	_	_	_	_	_	0-2(300)
3-5	PKP008	3	covid]	covid	linguistic	_	End=11.36	_	_	_	0-5(300)
4-0	PKP032	4	[e:h	eh	linguistic	_	Begin=9.63	0x1	_	_	0-2(?)
4-1	PKP032	4	il	il	linguistic	_	_	_	_	_	0-2(?)
4-2	PKP032	4	pranzo]	pranzo	linguistic	_	_	_	_	_	0-6(?)
4-3	PKP032	4	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
4-4	PKP032	4	esatto	esatto	linguistic	_	_	_	_	_	_
4-5	PKP032	4	cioè	cioè	linguistic	_	_	_	_	_	_
