token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP041	0	dal	dal	linguistic	_	Begin=0.02	_	_	_	_
0-1	PKP041	0	cibo	cibo	linguistic	_	_	_	_	_	_
0-2	PKP041	0	no	no	linguistic	_	End=1.08	_	_	_	_
1-0	PKP041	1	e	e	linguistic	_	Begin=5.57	_	_	_	_
1-1	PKP041	1	manco	manco	linguistic	_	_	_	_	_	_
1-2	PKP041	1	mi	mi	linguistic	_	_	_	_	_	_
1-3	PKP041	1	sa	sa	linguistic	_	_	_	_	_	_
1-4	PKP041	1	quello	quello	linguistic	_	_	_	_	_	_
1-5	PKP041	1	che	che	linguistic	_	_	_	_	_	_
1-6	PKP041	1	era	era	linguistic	_	_	_	_	_	_
1-7	PKP041	1	entrato	entrato	linguistic	_	_	_	_	_	_
1-8	PKP041	1	a	a	linguistic	_	_	_	_	_	_
1-9	PKP041	1	prendere	prendere	linguistic	_	_	_	_	_	_
1-10	PKP041	1	la	la	linguistic	_	_	_	_	_	_
1-11	PKP041	1	pizza	pizza	linguistic	_	_	_	_	_	_
1-12	PKP041	1	ce	ce	linguistic	_	_	_	_	_	_
1-13	PKP041	1	l'	l'	linguistic	SpaceAfter=No	_	_	_	_	_
1-14	PKP041	1	avev[a]	aveva	linguistic	_	End=8.194	_	_	_	3-5(0)
2-0	PKP047	2	[n]o	no	linguistic	_	Begin=8.15	_	_	_	0-1(0)
2-1	PKP047	2	quello	quello	linguistic	_	_	_	_	_	_
2-2	PKP047	2	no	no	linguistic	_	End=9.615	_	_	_	_
3-0	PKP041	3	e	e	linguistic	_	Begin=11.563	_	_	_	_
3-1	PKP041	3	abbiamo	abbiamo	linguistic	_	_	_	_	_	_
3-2	PKP041	3	detto	detto	linguistic	_	_	_	_	_	_
3-3	PKP041	3	a	a	linguistic	_	_	_	_	_	_
3-4	PKP041	3	papà	papà	linguistic	_	_	_	_	_	_
3-5	PKP041	3	non	non	linguistic	_	_	_	_	_	_
3-6	PKP041	3	entrare	entrare	linguistic	_	_	_	_	_	_
3-7	PKP041	3	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
3-8	PKP041	3	non	non	linguistic	_	_	_	_	_	_
3-9	PKP041	3	c'	c'	linguistic	SpaceAfter=No	_	_	_	_	_
3-10	PKP041	3	hai	hai	linguistic	_	_	_	_	_	_
3-11	PKP041	3	la	la	linguistic	_	_	_	_	_	_
3-12	PKP041	3	mascherina	mascherina	linguistic	_	End=15.292	_	_	_	_
4-0	PKP041	4	è	è	linguistic	_	Begin=20.04	_	_	_	_
4-1	PKP041	4	vero	vero	linguistic	_	_	_	_	_	_
4-2	PKP041	4	che	che	linguistic	_	_	_	_	_	_
4-3	PKP041	4	è	è	linguistic	_	_	_	_	_	_
4-4	PKP041	4	legger	legger	linguistic	_	_	_	_	_	_
4-5	PKP041	4	a?	a	linguistic	Intonation=Rising	End=21.61	_	_	_	_
5-0	PKP040	5	no	no	linguistic	_	Begin=21.61	_	_	_	_
5-1	PKP040	5	mi	mi	linguistic	_	_	_	_	_	_
5-2	PKP040	5	sa	sa	linguistic	_	_	_	_	_	_
5-3	PKP040	5	che	che	linguistic	_	_	_	_	_	_
5-4	PKP040	5	è	è	linguistic	_	_	_	_	_	_
5-5	PKP040	5	piccante	piccante	linguistic	_	_	_	_	_	_
5-6	PKP040	5	sta	sta	linguistic	_	_	_	_	_	_
5-7	PKP040	5	facendo	facendo	linguistic	_	_	_	_	_	_
5-8	PKP040	5	una	una	linguistic	_	_	_	_	_	_
5-9	PKP040	5	faccia	faccia	linguistic	_	End=24.02	_	_	_	_
6-0	PKP039	6	è	è	linguistic	_	Begin=25.74	_	_	_	_
6-1	PKP039	6	piccante	piccante	linguistic	_	_	_	_	_	_
6-2	PKP039	6	sì	sì	linguistic	_	End=26.63	_	_	_	_
7-0	PKP040	7	per	per	linguistic	_	Begin=27.258	_	_	_	_
7-1	PKP040	7	dirlo	dirlo	linguistic	_	_	_	_	_	_
7-2	PKP040	7	tu:	tu	linguistic	_	End=28.084	1x1	_	_	_
8-0	PKP040	8	e	e	linguistic	_	Begin=30.86	_	_	_	_
8-1	PKP040	8	come	come	linguistic	_	_	_	_	_	_
8-2	PKP040	8	mai?	mai	linguistic	Intonation=Rising	End=31.66	_	_	_	_
9-0	PKP039	9	ma	ma	linguistic	_	Begin=33.525	_	_	_	_
9-1	PKP039	9	non	non	linguistic	_	_	_	_	_	_
9-2	PKP039	9	so	so	linguistic	_	_	_	_	_	_
9-3	PKP039	9	se	se	linguistic	_	_	_	_	_	_
9-4	PKP039	9	sono	sono	linguistic	_	_	_	_	_	_
9-5	PKP039	9	le:	le	linguistic	_	_	1x1	_	_	_
9-6	PKP039	9	le	le	linguistic	_	_	_	_	_	_
9-7	PKP039	9	[cose	cose	linguistic	_	_	_	_	_	0-4(1)
9-8	PKP039	9	qua]	qua	linguistic	_	End=35.58	_	_	_	0-3(1)
10-0	PKP047	10	[ti	ti	linguistic	_	Begin=35.57	_	_	_	0-2(1)
10-1	PKP047	10	devi	devi	linguistic	_	_	_	_	_	0-4(1)
10-2	PKP047	10	vedere	vedere	linguistic	_	_	_	_	_	0-6(1)
10-3	PKP047	10	x	x	unknown	_	_	_	_	_	0-1(1)
10-4	PKP047	10	factor]?	factor	linguistic	Intonation=Rising	End=36.95	_	_	_	0-6(1)
11-0	PKP040	11	[oddio	oddio	linguistic	_	Begin=35.59	_	_	_	0-5(2)
11-1	PKP040	11	mo	mo	linguistic	_	_	_	_	_	0-2(2)
11-2	PKP040	11	mo	mo	linguistic	_	_	_	_	_	0-2(2)
11-3	PKP040	11	questa	questa	linguistic	_	_	_	_	_	0-6(2)
11-4	PKP040	11	la~]	la~	linguistic	Interrupted=Yes	_	_	_	_	0-3(2)
11-5	PKP040	11	lasciala	lasciala	linguistic	_	_	_	_	_	_
11-6	PKP040	11	questa	questa	linguistic	_	_	_	_	_	_
11-7	PKP040	11	to[glila]	toglila	linguistic	_	End=39.0	_	_	_	2-7(3)
12-0	PKP047	12	ah	ah	linguistic	_	Begin=37.79	_	_	_	_
12-1	PKP047	12	là?	là	linguistic	Intonation=Rising	End=38.32	_	_	_	_
13-0	PKP039	13	perché	perché	linguistic	_	Begin=38.901	_	_	_	_
13-1	PKP039	13	me	me	linguistic	_	_	_	_	_	_
13-2	PKP039	13	la	la	linguistic	_	_	_	_	_	_
13-3	PKP039	13	devo	devo	linguistic	_	_	_	_	_	_
13-4	PKP039	13	toglier[e]?	togliere	linguistic	Intonation=Rising	End=39.53	_	_	_	7-8(?)
14-0	PKP040	14	[per]ché	perché	linguistic	_	Begin=39.49	_	_	_	0-3(5)
14-1	PKP040	14	se	se	linguistic	_	_	_	_	_	_
14-2	PKP040	14	non	non	linguistic	_	_	_	_	_	_
14-3	PKP040	14	la	la	linguistic	_	_	_	_	_	_
14-4	PKP040	14	mangi	mangi	linguistic	_	_	_	_	_	_
14-5	PKP040	14	tu	tu	linguistic	_	_	_	_	_	_
14-6	PKP040	14	la	la	linguistic	_	_	_	_	_	_
14-7	PKP040	14	togli	togli	linguistic	_	_	_	_	_	_
14-8	PKP040	14	no?	no	linguistic	Intonation=Rising	_	_	_	_	_
14-9	PKP040	14	[c	c	linguistic	_	_	_	_	_	0-1(195)
14-10	PKP040	14	'ha	'ha	linguistic	Truncated=Yes	_	_	_	_	0-3(195)
14-11	PKP040	14	un	un	linguistic	_	_	_	_	_	0-2(195)
14-12	PKP040	14	piatto]	piatto	linguistic	_	End=41.77	_	_	_	0-6(195)
15-0	PKP047	15	[ti	ti	linguistic	_	Begin=40.82	_	_	_	0-2(195)
15-1	PKP047	15	devi	devi	linguistic	_	_	_	_	_	0-4(195)
15-2	PKP047	15	vedere	vedere	linguistic	_	_	_	_	_	0-6(195)
15-3	PKP047	15	x	x	unknown	_	_	_	_	_	0-1(195)
15-4	PKP047	15	factor	factor	linguistic	_	_	_	_	_	0-6(195)
15-5	PKP047	15	dopo]?	dopo	linguistic	Intonation=Rising	End=42.45	_	_	_	0-4(195)
16-0	PKP039	16	[no	no	linguistic	_	Begin=41.74	_	_	_	0-2(195)
16-1	PKP039	16	ma]	ma	linguistic	_	_	_	_	_	0-2(195)
16-2	PKP039	16	me	me	linguistic	_	_	_	_	_	_
16-3	PKP039	16	la	la	linguistic	_	_	_	_	_	_
16-4	PKP039	16	mangio	mangio	linguistic	_	_	_	_	_	_
16-5	PKP039	16	s[a]	sa	linguistic	_	End=43.0	_	_	_	1-2(6)
17-0	PKP047	17	[ma]	ma	linguistic	_	Begin=42.8	_	_	_	0-2(6)
17-1	PKP047	17	mo	mo	linguistic	_	_	_	_	_	_
17-2	PKP047	17	me	me	linguistic	_	_	_	_	_	_
17-3	PKP047	17	la	la	linguistic	_	_	_	_	_	_
17-4	PKP047	17	mangio	mangio	linguistic	_	_	_	_	_	_
17-5	PKP047	17	io	io	linguistic	_	_	_	_	_	_
17-6	PKP047	17	se	se	linguistic	_	_	_	_	_	_
17-7	PKP047	17	no	no	linguistic	_	End=44.03	_	_	_	_
18-0	PKP040	18	no	no	linguistic	_	Begin=45.63	_	_	_	_
18-1	PKP040	18	non	non	linguistic	_	_	_	_	_	_
18-2	PKP040	18	[state	state	linguistic	_	_	_	_	_	0-5(?)
18-3	PKP040	18	facendo]	facendo	linguistic	_	_	_	_	_	0-7(?)
18-4	PKP040	18	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
18-5	PKP040	18	le	le	linguistic	_	_	_	_	_	_
18-6	PKP040	18	divisioni?	divisioni	linguistic	Intonation=Rising	End=47.59	_	_	_	_
19-0	PKP041	19	[buonissima]	buonissima	linguistic	_	Begin=46.407|End=47.13	_	_	_	0-10(7)
20-0	PKP047	20	[ti]	ti	linguistic	_	Begin=47.26	_	_	_	0-2(8)
20-1	PKP047	20	devi	devi	linguistic	_	_	_	_	_	_
20-2	PKP047	20	vedere	vedere	linguistic	_	_	_	_	_	_
20-3	PKP047	20	x	x	unknown	_	_	_	_	_	_
20-4	PKP047	20	facto[r]?	factor	linguistic	Intonation=Rising	End=48.72	_	_	_	5-6(9)
21-0	PKP041	21	[si]	si	linguistic	_	Begin=48.51	_	_	_	0-2(9)
21-1	PKP041	21	ho	ho	linguistic	_	_	_	_	_	_
21-2	PKP041	21	messo	messo	linguistic	_	_	_	_	_	_
21-3	PKP041	21	già	già	linguistic	_	_	_	_	_	_
21-4	PKP041	21	pausa	pausa	linguistic	_	End=49.84	_	_	_	_
22-0	PKP040	22	ma	ma	linguistic	_	Begin=59.454	_	_	_	_
22-1	PKP040	22	sta	sta	linguistic	_	_	_	_	_	_
22-2	PKP040	22	piovendo	piovendo	linguistic	_	_	_	_	_	_
22-3	PKP040	22	ancora?	ancora	linguistic	Intonation=Rising	End=61.079	_	_	_	_
23-0	PKP040	23	#ma:	ma	linguistic	_	Begin=61.874	1x1	_	_	_
23-1	PKP040	23	a	a	linguistic	_	_	_	_	_	_
23-2	PKP040	23	un	un	linguistic	_	_	_	_	_	_
23-3	PKP040	23	certo	certo	linguistic	_	_	_	_	_	_
23-4	PKP040	23	punto	punto	linguistic	_	_	_	_	_	_
23-5	PKP040	23	è	è	linguistic	_	_	_	_	_	_
23-6	PKP040	23	fattu	fattu	linguistic	_	_	_	_	_	_
23-7	PKP040	23	na	na	linguistic	_	_	_	_	_	_
23-8	PKP040	23	scaricata	scaricata	linguistic	_	_	_	_	_	_
23-9	PKP040	23	proprio	proprio	linguistic	_	End=63.98	_	_	_	_
24-0	PKP041	24	a	a	linguistic	_	Begin=64.813	_	_	_	_
24-1	PKP041	24	casa	casa	linguistic	_	_	_	_	_	_
24-2	PKP041	24	di	di	linguistic	_	_	_	_	_	_
24-3	PKP041	24	[lorenzo]	lorenzo	linguistic	_	End=66.193	_	_	_	0-7(10)
25-0	PKP040	25	[c(io)è	cioè	linguistic	_	Begin=65.128	_	_	1-3(0)	0-4(10)
25-1	PKP040	25	proprio]:	proprio	linguistic	_	_	6x1	_	_	0-7(10)
25-2	PKP040	25	(.)	[PAUSE]	shortpause	_	_	_	_	_	_
25-3	PKP040	25	la:	la	linguistic	_	_	1x1	_	_	_
25-4	PKP040	25	<buttava	buttava	linguistic	_	_	_	Slow=0-7	_	_
25-5	PKP040	25	a	a	linguistic	_	_	_	Slow=0-1	_	_
25-6	PKP040	25	catinelle>	catinelle	linguistic	_	End=68.227	_	Slow=0-9	_	_
26-0	PKP041	26	a	a	linguistic	_	Begin=69.19	_	_	_	_
26-1	PKP041	26	casa	casa	linguistic	_	_	_	_	_	_
26-2	PKP041	26	di	di	linguistic	_	_	_	_	_	_
26-3	PKP041	26	lorenzo	lorenzo	linguistic	_	_	_	_	_	_
26-4	PKP041	26	hanno	hanno	linguistic	_	_	_	_	_	_
26-5	PKP041	26	tremato	tremato	linguistic	_	_	_	_	_	_
26-6	PKP041	26	le	le	linguistic	_	_	_	_	_	_
26-7	PKP041	26	porte	porte	linguistic	_	End=70.82	_	_	_	_
27-0	PKP040	27	quando	quando	linguistic	_	Begin=71.562	_	_	_	_
27-1	PKP040	27	ha	ha	linguistic	_	_	_	_	_	_
27-2	PKP040	27	fatto	fatto	linguistic	_	_	_	_	_	_
27-3	PKP040	27	[quel	quel	linguistic	_	_	_	_	_	0-4(11)
27-4	PKP040	27	tuono]	tuono	linguistic	_	_	_	_	_	0-5(11)
27-5	PKP040	27	sì	sì	linguistic	_	_	_	_	_	_
27-6	PKP040	27	sì	sì	linguistic	_	End=73.68	_	_	_	_
28-0	PKP041	28	[con	con	linguistic	_	Begin=72.04	_	_	_	0-3(11)
28-1	PKP041	28	i	i	linguistic	_	_	_	_	_	0-1(11)
28-2	PKP041	28	tuoni]	tuoni	linguistic	_	End=73.11	_	_	_	0-5(11)
29-0	PKP040	29	sì	sì	linguistic	_	Begin=75.013	_	_	_	_
29-1	PKP040	29	sì	sì	linguistic	_	_	_	_	_	_
29-2	PKP040	29	come	come	linguistic	_	_	_	_	_	_
29-3	PKP040	29	dice:	dice	linguistic	_	_	3x1	_	_	_
29-4	PKP040	29	come	come	linguistic	_	_	_	_	_	_
29-5	PKP040	29	fa	fa	linguistic	_	_	_	_	_	_
29-6	PKP040	29	lorenzo	lorenzo	linguistic	_	_	_	_	_	_
29-7	PKP040	29	sì	sì	linguistic	_	_	_	_	_	_
29-8	PKP040	29	sì	sì	linguistic	_	End=77.37	_	_	_	_
30-0	PKP040	30	france'	france'	linguistic	Truncated=Yes	Begin=83.38	_	_	_	_
30-1	PKP040	30	ma	ma	linguistic	_	_	_	_	_	_
30-2	PKP040	30	domani	domani	linguistic	_	_	_	_	_	_
30-3	PKP040	30	è	è	linguistic	_	_	_	_	_	_
30-4	PKP040	30	un	un	linguistic	_	_	_	_	_	_
30-5	PKP040	30	anno	anno	linguistic	_	_	_	_	_	_
30-6	PKP040	30	che	che	linguistic	_	_	_	_	_	_
30-7	PKP040	30	ti	ti	linguistic	_	_	_	_	_	_
30-8	PKP040	30	se[i::]	sei	linguistic	_	_	2x2	_	_	_
30-9	PKP040	30	laurea[to]]?	laureato	linguistic	Intonation=Rising	End=86.11	_	_	_	_
31-0	PKP041	31	[si]	si	linguistic	_	Begin=84.96|End=85.43	_	_	_	0-2(13)
32-0	PKP047	32	[d]omani	domani	linguistic	_	Begin=85.58|End=86.13	_	_	_	0-1(12)
33-0	PKP040	33	#ce	ce	linguistic	_	Begin=87.853	_	_	_	_
33-1	PKP040	33	co:sa	cosa	linguistic	_	End=88.69	1x1	_	_	_
34-0	PKP039	34	dieci	dieci	linguistic	_	Begin=89.95	_	_	_	_
34-1	PKP039	34	anni	anni	linguistic	_	_	_	_	_	_
34-2	PKP039	34	sembrano	sembrano	linguistic	_	End=91.04	_	_	_	_
35-0	PKP040	35	no	no	linguistic	_	Begin=91.55	_	_	_	_
35-1	PKP040	35	che	che	linguistic	_	_	_	_	_	_
35-2	PKP040	35	dieci	dieci	linguistic	_	_	_	_	_	_
35-3	PKP040	35	a:nni:	anni	linguistic	_	End=92.732	0x1,3x1	_	_	_
36-0	PKP040	36	l'	l'	linguistic	SpaceAfter=No	Begin=94.21	_	_	_	_
36-1	PKP040	36	ultimo	ultimo	linguistic	_	_	_	_	_	_
