token_id	speaker	tu_id	span	form	type	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PKP025	0	faccio	faccio	linguistic	_	Begin=2.84	_	_	_	_
0-1	PKP025	0	il	il	linguistic	_	_	_	_	_	_
0-2	PKP025	0	tè	tè	linguistic	_	End=3.54	_	_	_	_
1-0	PKP026	1	(°allora°)	allora	linguistic	Volume=Low	Begin=5.31|End=5.74	_	_	0-6(0)	_
2-0	PKP025	2	[accendo]?	accendo	linguistic	Intonation=Rising	Begin=7.67|End=8.55	_	_	_	0-7(0)
3-0	PKP026	3	[va	va	linguistic	_	Begin=7.67	_	_	_	0-2(0)
3-1	PKP026	3	bene]	bene	linguistic	_	End=8.542	_	_	_	0-4(0)
4-0	PKP026	4	ci	ci	linguistic	_	Begin=10.41	_	_	_	_
4-1	PKP026	4	fermiamo	fermiamo	linguistic	_	_	_	_	_	_
4-2	PKP026	4	un	un	linguistic	_	_	_	_	_	_
4-3	PKP026	4	attimo	attimo	linguistic	_	_	_	_	_	_
4-4	PKP026	4	e	e	linguistic	_	_	_	_	_	_
4-5	PKP026	4	prendiamo	prendiamo	linguistic	_	_	_	_	_	_
4-6	PKP026	4	il	il	linguistic	_	_	_	_	_	_
4-7	PKP026	4	tè	tè	linguistic	_	_	_	_	_	_
4-8	PKP026	4	e	e	linguistic	_	_	_	_	_	_
4-9	PKP026	4	la	la	linguistic	_	_	_	_	_	_
4-10	PKP026	4	tisana	tisana	linguistic	_	End=12.724	_	_	_	_
5-0	PKP025	5	(tè)	tè	linguistic	_	Begin=13.69|End=14.304	_	_	0-2(0)	_
6-0	PKP025	6	((accende_il_gas))	((accende_il_gas))	nonverbalbehavior	_	Begin=14.382|End=17.441	_	_	_	_
7-0	PKP026	7	vai	vai	linguistic	_	Begin=14.997|End=15.571	_	_	_	_
8-0	PKP025	8	lo	lo	linguistic	_	Begin=18.029	_	_	_	_
8-1	PKP025	8	zucchero	zucchero	linguistic	_	_	_	_	_	_
