code	occupation	gender	conversations	birth-region	age-range	study-level
TO081	0-Students	F	TOD2002	piemonte	21-25	university-degree-ongoing
TO082	0-Students	F	TOD2001	piemonte	21-25	university-degree-ongoing
TO083	0-Students	F	TOD2003	piemonte	21-25	university-degree-ongoing
TO084	0-Students	F	TOD2004	piemonte	21-25	university-degree-ongoing
TO085	0-Students	F	TOA3010;TOA3011;TOA3012;TOA3013;TOA3014	lombardia	21-25	university-degree-ongoing
TO086	0-Students	F	TOA3010;TOA3011	piemonte	21-25	university-degree-ongoing
TO087	0-Students	F	TOA3011	piemonte	21-25	university-degree-ongoing
TO088	0-Students	F	TOA3011	piemonte	21-25	university-degree-ongoing
TO089	0-Students	F	TOA3012	piemonte	21-25	university-degree-ongoing
TO090	0-Students	F	TOA3012	piemonte	21-25	university-degree-ongoing
TO091	0-Students	F	TOA3014;TOA3012	umbria	21-25	university-degree-ongoing
TO092	0-Students	F	TOA3013	lombardia	21-25	university-degree-ongoing
TO093	0-Students	M	TOA3013	puglia	21-25	university-degree-ongoing
TO094	0-Students	F	TOA3013	lombardia	21-25	university-degree-ongoing
TO095	0-Students	F	TOA3014	umbria	21-25	university-degree-ongoing
TO999	2-Professionals	M	TOD2001;TOD2002;TOD2003;TOD2004;TOD2006;BOD2001;BOA1025;BOD1001	piemonte	26-30	phd
PKP001	0-Students	F	KPS006;KPS005	basilicata	21-25	university-degree-ongoing
PKP003	0-Students	M	KPS005;KPS006	basilicata	16-20	university-degree-ongoing
PKP004	2-Professionals	F	KPS005;KPS006	puglia	51-55	tecnical-workhnical-vocational-diploma
PKP005	4-Clerical-Workers	M	KPS005;KPS006	basilicata	56-60	liceo-diploma
PKP006	2-Professionals	F	KPS006	basilicata	81-85	university-degree
PKP007	2-Professionals	F	KPN001	piemonte	26-30	phd
PKP008	0-Retired	F	KPN020	veneto	56-60	middle-school
PKP009	2-Professionals	F	KPN019	veneto	56-60	university-degree
PKP010	4-Clerical-Workers	F	KPS003	abruzzo	51-55	university-degree
PKP011	0-Students	M	KPN002	estero	21-25	university-degree-ongoing
PKP012	N/A	F	KPN002	veneto	21-25	N/A
PKP013	0-Students	F	KPN003;KPN004;KPN005;KPN007	emilia-romagna	21-25	university-degree-ongoing
PKP014	0-Unemployed	F	KPN003;KPN005;KPN006	emilia-romagna	21-25	university-degree
PKP015	3-Technicians	F	KPN003;KPN005	emilia-romagna	21-25	university-degree
PKP016	4-Clerical-Workers	F	KPN004;KPN007	emilia-romagna	51-55	tecnical-workhnical-vocational-diploma
PKP017	4-Clerical-Workers	M	KPN004;KPN007	emilia-romagna	51-55	phd
PKP018	3-Technicians	F	KPN005	emilia-romagna	51-55	tecnical-workhnical-vocational-diploma
PKP019	0-Retired	M	KPN006	emilia-romagna	81-85	primary-school
PKP020	0-Students	M	KPN006	emilia-romagna	16-20	university-degree-ongoing
PKP021	3-Technicians	M	KPN006	emilia-romagna	51-55	tecnical-workhnical-vocational-diploma
PKP022	0-Retired	F	KPN007	emilia-romagna	76-80	tecnical-workhnical-vocational-diploma
PKP023	0-Students	M	KPN009	sicilia	16-20	university-degree-ongoing
PKP024	0-Students	F	KPC003;KPN010	toscana	21-25	university-degree-ongoing
PKP025	0-Students	F	KPC001	marche	21-25	university-degree-ongoing
PKP026	4-Clerical-Workers	F	KPC001	marche	51-55	tecnical-workhnical-vocational-diploma
PKP027	4-Clerical-Workers	M	KPC004	lazio	26-30	university-degree
PKP028	0-Students	F	KPC004	lazio	26-30	university-degree-ongoing
PKP029	0-Students	F	KPN010	toscana	21-25	university-degree-ongoing
PKP030	0-Students	M	KPN019;KPN020	veneto	21-25	university-degree-ongoing
PKP031	0-Students	M	KPN002	veneto	21-25	university-degree-ongoing
PKP032	4-Clerical-Workers	M	KPN020	estero	56-60	tecnical-workhnical-vocational-diploma
PKP033	2-Professionals	F	KPN031;KPS004	emilia-romagna	26-30	university-degree
PKP034	0-Retired	F	KPS004	puglia	81-85	tecnical-workhnical-vocational-diploma
PKP035	0-Retired	M	KPS004	puglia	over 85	tecnical-workhnical-vocational-diploma
PKP036	2-Professionals	F	KPN031	lazio	26-30	university-degree
PKP037	2-Professionals	M	KPN031	lazio	26-30	university-degree
PKP038	2-Professionals	F	KPN002	veneto	21-25	university-degree
PKP039	2-Professionals	M	KPS008;KPS009;KPS010;KPS011	puglia	56-60	university-degree
PKP040	4-Clerical-Workers	F	KPS008;KPS009;KPS010;KPS011	estero	51-55	university-degree
PKP041	2-Professionals	F	KPS008;KPS009;KPS010;KPS011	puglia	21-25	liceo-diploma
PKP042	2-Professionals	M	KPS009	puglia	16-20	liceo-diploma
PKP043	2-Professionals	M	KPN012;KPS013	puglia	21-25	liceo-diploma
PKP044	2-Professionals	F	KPN012	puglia	21-25	liceo-diploma
PKP045	2-Professionals	M	KPN012	puglia	21-25	university-degree
PKP046	2-Professionals	F	KPN012	puglia	16-20	liceo-diploma
PKP047	2-Professionals	M	KPS010	puglia	21-25	phd
PKP048	0-Unemployed	F	KPS011	veneto	81-85	primary-school
PKP049	0-Unemployed	F	KPS012	puglia	51-55	tecnical-workhnical-vocational-diploma
PKP050	2-Professionals	F	KPS012	puglia	21-25	liceo-diploma
PKP051	0-Students	F	KPS012	puglia	16-20	middle-school
PKP052	2-Professionals	F	KPS013	puglia	51-55	university-degree
PKP053	0-Students	F	KPS013	puglia	16-20	middle-school
PKP054	0-Students	F	KPN009	friuli-venezia-giulia	21-25	university-degree-ongoing
PKP055	5-Service-Workers	M	KPN009	toscana	21-25	tecnical-workhnical-vocational-diploma
PKP056	2-Professionals	F	KPC002	toscana	51-55	university-degree
PKP057	0-Students	F	KPN013;KPN014;KPN015;KPN016;KPN017	emilia-romagna	21-25	university-degree-ongoing
PKP058	0-Students	F	KPN013	emilia-romagna	21-25	university-degree-ongoing
PKP059	0-Students	F	KPN013	emilia-romagna	21-25	university-degree-ongoing
PKP060	0-Students	M	KPN014	emilia-romagna	26-30	university-degree-ongoing
PKP061	8-Elementary	F	KPN015;KPN016;KPN017	emilia-romagna	56-60	tecnical-workhnical-vocational-diploma
PKP062	3-Technicians	M	KPN015	emilia-romagna	56-60	university-degree
PKP063	0-Students	M	KPC005;KPC006;KPC007;KPC008	marche	21-25	university-degree-ongoing
PKP064	6-Craft-Workers	M	KPC005	marche	56-60	middle-school
PKP065	4-Clerical-Workers	F	KPC005	calabria	56-60	tecnical-workhnical-vocational-diploma
PKP066	0-Retired	F	KPC006	marche	76-80	primary-school
PKP067	0-Students	F	KPC007	marche	16-20	university-degree-ongoing
PKP068	0-Students	F	KPC007	marche	21-25	university-degree-ongoing
PKP069	2-Professionals	F	KPC008	piemonte	46-50	phd
PKP070	0-Students	M	KPN022;KPN021;KPN023;KPN024	veneto	21-25	university-degree-ongoing
PKP071	0-Students	F	KPN023	veneto	21-25	university-degree-ongoing
PKP072	N/A	F	KPN021	veneto	21-25	N/A
PKP073	0-Students	M	KPN021	veneto	16-20	university-degree-ongoing
PKP074	0-Unemployed	F	KPN021	veneto	51-55	middle-school
PKP075	0-Students	F	KPN022	veneto	16-20	middle-school
PKP076	6-Craft-Workers	F	KPN022	veneto	56-60	middle-school
PKP077	6-Craft-Workers	M	KPN022	veneto	56-60	middle-school
PKP078	0-Students	F	KPN023	veneto	21-25	university-degree-ongoing
PKP079	0-Students	F	KPN023	veneto	21-25	university-degree-ongoing
PKP080	0-Students	F	KPN024	veneto	21-25	university-degree-ongoing
PKP081	0-Retired	M	KPS015	campania	81-85	tecnical-workhnical-vocational-diploma
PKP082	0-Retired	F	KPS015	campania	76-80	university-degree
PKP083	0-Students	F	KPS015;KPS016;KPS017	sardegna	21-25	university-degree-ongoing
PKP084	3-Technicians	M	KPS016	sardegna	51-55	phd
PKP085	0-Students	M	KPS016;KPS017	sardegna	16-20	university-degree-ongoing
PKP086	0-Retired	M	KPS017	sardegna	81-85	middle-school
PKP087	0-Retired	F	KPS017	sardegna	81-85	middle-school
PKP088	0-Students	F	KPC009	umbria	21-25	university-degree-ongoing
PKP089	6-Craft-Workers	F	KPC009	umbria	21-25	tecnical-workhnical-vocational-diploma
PKP090	0-Students	F	KPC009	umbria	21-25	university-degree-ongoing
PKP091	0-Students	F	KPN010	veneto	16-20	university-degree-ongoing
PKP092	0-Students	F	KPN010	toscana	21-25	university-degree-ongoing
PKP093	0-Students	M	KPC003;KPN009;KPC002	toscana	21-25	university-degree-ongoing
PKP094	2-Professionals	M	KPC002	toscana	51-55	phd
PKP095	2-Professionals	M	KPS014	puglia	61-65	university-degree
PKP096	2-Professionals	F	KPS014	puglia	61-65	university-degree
PKP097	2-Professionals	M	KPS014	puglia	26-30	university-degree
PKP100	0-Students	F	KPS001	calabria	21-25	university-degree-ongoing
PKP101	2-Professionals	F	KPS001	lazio	56-60	phd
PKP102	3-Technicians	M	KPS001	campania	61-65	tecnical-workhnical-vocational-diploma
PKP103	0-Students	F	KPS001;KPS002	calabria	21-25	university-degree-ongoing
PKP104	0-Students	F	KPS002	calabria	21-25	university-degree-ongoing
PKP105	2-Professionals	F	KPS002	calabria	51-55	phd
PKP106	4-Clerical-Workers	F	KPN018	sicilia	51-55	tecnical-workhnical-vocational-diploma
PKP107	0-Students	F	KPN025;KPN026	emilia-romagna	21-25	university-degree-ongoing
PKP108	2-Professionals	F	KPN025	marche	81-85	university-degree
PKP109	2-Professionals	F	KPN025	marche	51-55	university-degree
PKP110	0-Students	F	KPN025	emilia-romagna	16-20	middle-school
PKP111	3-Technicians	M	KPN026	campania	26-30	university-degree
PKP112	0-Students	F	KPN028	emilia-romagna	21-25	university-degree-ongoing
PKP113	0-Students	F	KPN026	emilia-romagna	21-25	university-degree-ongoing
PKP114	3-Technicians	F	KPN026	emilia-romagna	21-25	university-degree
PKP115	0-Students	F	KPN027	emilia-romagna	16-20	middle-school
PKP116	0-Retired	F	KPN027	sicilia	76-80	primary-school
PKP118	2-Professionals	F	KPN028	marche	51-55	university-degree
PKP119	5-Service-Workers	M	KPN028	sicilia	51-55	middle-school
PKP120	0-Students	F	KPN011	emilia-romagna	26-30	university-degree-ongoing
PKP121	0-Students	M	KPN011	emilia-romagna	31-35	university-degree-ongoing
PKP122	2-Professionals	M	KPN011	estero	71-75	phd
PKP123	0-Unemployed	F	KPN011	estero	61-65	tecnical-workhnical-vocational-diploma
PKP124	0-Students	F	KPN002	veneto	21-25	university-degree-ongoing
PKP125	0-Students	M	KPS021;KPS022;KPS023;KPS024;KPS025	campania	26-30	university-degree-ongoing
PKP126	0-Unemployed	M	KPS021	campania	26-30	university-degree
PKP127	0-Students	F	KPS021	campania	26-30	university-degree-ongoing
PKP128	5-Service-Workers	F	KPS022	campania	26-30	tecnical-workhnical-vocational-diploma
